Ciudad,Región,Day 1,Description 1,Day 2,Description 2,Day 3,Description 3,Day 4,Description 4
BAGUA GRANDE , AMAZONAS,"domingo, 14 de enero: Máx 19ºC, Mín 11ºC",Cielo nublado parcial a cielo nublado durante el día con lluvia.,"lunes, 15 de enero: Máx 19ºC, Mín 11ºC",Cielo nublado parcial por la mañana a cielo nublado con tendencia a lluvia ligera por la tarde.,"martes, 16 de enero: Máx 19ºC, Mín 11ºC",Cielo nublado con viento moderado por la mañana con tendencia a lluvia ligera por la tarde.,"miércoles, 17 de enero: Máx 19ºC, Mín 11ºC","Cielo nublado parcial entre cielo nublado durante el día con tendencia a lluvia ligera , viento moderado por la mañana."
CHACHAPOYAS , AMAZONAS,"domingo, 14 de enero: Máx 32ºC, Mín 22ºC",Cielo nublado parcial entre cielo nublado durante el día con tendencia a chubascos ligeros.,"lunes, 15 de enero: Máx 32ºC, Mín 22ºC",Cielo nublado entre cielo nublado parcial durante el día con tendencia a chubascos ligeros.,"martes, 16 de enero: Máx 33ºC, Mín 22ºC",Cielo nublado a cielo nublado parcial durante el día con tendencia a chubascos ligeros.,"miércoles, 17 de enero: Máx 33ºC, Mín 22ºC",Cielo nublado a cielo nublado parcial durante el día con tendencia a lluvia ligera.
CHIRIACO , AMAZONAS,"domingo, 14 de enero: Máx 24ºC, Mín 17ºC",Cielo nublado parcial a cielo nublado durante el día con lluvia.,"lunes, 15 de enero: Máx 25ºC, Mín 16ºC",Cielo nublado parcial con viento moderado por la mañana a cielo nublado al atardecer con tendencia a lluvia ligera.,"martes, 16 de enero: Máx 26ºC, Mín 16ºC","Cielo nublado parcial entre cielo nublado durante el día con tendencia a lluvia ligera , viento ligero por la mañana.","miércoles, 17 de enero: Máx 26ºC, Mín 16ºC",Cielo nublado parcial entre cielo nublado durante el día con tendencia a lluvia ligera y viento moderado.
PEDRO RUIZ , AMAZONAS,"domingo, 14 de enero: Máx 31ºC, Mín 22ºC",Cielo nublado entre cielo nublado parcial durante el día con tendencia a chubascos ligeros.,"lunes, 15 de enero: Máx 32ºC, Mín 22ºC",Cielo nublado parcial a cielo nublado durante el día con tendencia a chubascos ligeros.,"martes, 16 de enero: Máx 32ºC, Mín 22ºC",Cielo nublado variando a cielo nublado parcial durante el día con tendencia a chubascos ligeros.,"miércoles, 17 de enero: Máx 32ºC, Mín 22ºC",Cielo nublado entre cielo nublado parcial durante el día con tendencia a chubascos ligeros.
SANTA MARIA DE NIEVA , AMAZONAS,"domingo, 14 de enero: Máx 14ºC, Mín 8ºC",Cielo nublado parcial entre cielo con nubes dispersas por la mañana variando a cielo cubierto con chubascos ligeros y ráfagas de viento por la tarde.,"lunes, 15 de enero: Máx 15ºC, Mín 7ºC",Cielo nublado parcial entre cielo con nubes dispersas por la mañana variando a cielo cubierto con tendencia a chubascos ligeros y ráfagas de viento por la tarde.,"martes, 16 de enero: Máx 16ºC, Mín 7ºC",Cielo con nubes dispersas por la mañana variando a cielo nublado parcial a cielo nublado por la tarde.,"miércoles, 17 de enero: Máx 15ºC, Mín 8ºC",Cielo con nubes dispersas variando a cielo nublado parcial hacia el mediodía a cielo cubierto con chubascos ligeros y ráfagas de viento por la tarde.
CABANA , ANCASH,"domingo, 14 de enero: Máx 31ºC, Mín 20ºC",Cielo nublado en las primeras horas de la mañana variando a cielo con nubes dispersas entre cielo despejado durante el día y cielo cubierto con lluvia ligera al atardecer.,"lunes, 15 de enero: Máx 31ºC, Mín 20ºC",Cielo nublado en las primeras horas de la mañana variando a cielo con nubes dispersas entre cielo despejado durante el día y cielo nublado con ráfagas de viento al atardecer.,"martes, 16 de enero: Máx 32ºC, Mín 21ºC",Cielo cubierto en las primeras horas de la mañana variando a cielo con nubes dispersas entre cielo despejado hacia el mediodía y cielo nublado parcial al atardecer con ráfagas de viento.,"miércoles, 17 de enero: Máx 33ºC, Mín 22ºC",Cielo nublado hacia la madrugada variando a cielo con nubes dispersas entre cielo despejado durante el día con tendencia a cielo nublado parcial al atardecer.
CASMA , ANCASH,"domingo, 14 de enero: Máx 19ºC, Mín 12ºC",Cielo nublado entre cielo nublado parcial por la mañana variando a cielo cubierto con lluvia y ráfagas de viento por la tarde.,"lunes, 15 de enero: Máx 20ºC, Mín 11ºC",Cielo nublado parcial entre cielo con nubes dispersas por la mañana variando a cielo cubierto con chubascos ligeros y ráfagas de viento por la tarde.,"martes, 16 de enero: Máx 21ºC, Mín 10ºC",Cielo con nubes dispersas variando a cielo nublado parcial hacia el mediodía y cielo cubierto con tendencia a chubascos ligeros por la tarde.,"miércoles, 17 de enero: Máx 19ºC, Mín 10ºC",Cielo nublado parcial por la mañana variando a cielo nublado a cielo cubierto con lluvia y ráfagas de viento por la tarde.
CHAVIN , ANCASH,"domingo, 14 de enero: Máx 28ºC, Mín 22ºC",Cielo nublado en las primeras horas de la mañana variando a cielo con nubes dispersas entre cielo despejado durante el día y cielo cubierto con tendencia a lluvia ligera al atardecer.,"lunes, 15 de enero: Máx 27ºC, Mín 21ºC",Cielo nublado en las primeras horas de la mañana variando a cielo con nubes dispersas entre cielo despejado durante el día y cielo nublado parcial con ráfagas de viento al atardecer.,"martes, 16 de enero: Máx 28ºC, Mín 20ºC",Cielo nublado en las primeras horas de la mañana variando a cielo con nubes dispersas entre cielo despejado durante el día y cielo nublado parcial con ráfagas de viento al atardecer.,"miércoles, 17 de enero: Máx 28ºC, Mín 21ºC",Cielo nublado hacia la madrugada variando a cielo con nubes dispersas entre cielo despejado durante el día con tendencia a cielo nublado parcial al atardecer.
CHIMBOTE , ANCASH,"domingo, 14 de enero: Máx 23ºC, Mín 3ºC",Cielo nublado parcial entre cielo con nubes dispersas por la mañana variando a cielo cubierto con chubascos ligeros y ráfagas de viento por la tarde.,"lunes, 15 de enero: Máx 24ºC, Mín 2ºC",Cielo nublado parcial entre cielo con nubes dispersas por la mañana variando a cielo cubierto con tendencia a chubascos ligeros y ráfagas de viento por la tarde.,"martes, 16 de enero: Máx 25ºC, Mín 3ºC",Cielo con nubes dispersas por la mañana variando a cielo nublado parcial a cielo nublado por la tarde.,"miércoles, 17 de enero: Máx 23ºC, Mín 5ºC",Cielo con nubes dispersas variando a cielo nublado parcial hacia el mediodía a cielo cubierto con lluvia y ráfagas de viento por la tarde.
CHIQUIÁN , ANCASH,"domingo, 14 de enero: Máx 22ºC, Mín 7ºC",Cielo nublado parcial por la mañana variando a cielo nublado a cielo cubierto con lluvia y ráfagas de viento por la tarde.,"lunes, 15 de enero: Máx 23ºC, Mín 6ºC",Cielo nublado parcial por la mañana variando a cielo nublado a cielo cubierto con chubascos ligeros con tendencia a ráfagas de viento por la tarde.,"martes, 16 de enero: Máx 24ºC, Mín 5ºC",Cielo con nubes dispersas por la mañana variando a cielo nublado parcial a cielo nublado por la tarde.,"miércoles, 17 de enero: Máx 23ºC, Mín 6ºC",Cielo con nubes dispersas variando a cielo nublado parcial hacia el mediodía y cielo cubierto con lluvia por la tarde.
